movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
0,avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi
1,pirates of the caribbean: at world's end,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
2,spectre,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller
3,the dark knight rises,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller
4,star wars: episode vii - the force awakens            ,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary
5,john carter,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi
7,tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance
8,avengers: age of ultron,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
9,harry potter and the half-blood prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
10,batman v superman: dawn of justice,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi
11,superman returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi
12,quantum of solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure
13,pirates of the caribbean: dead man's chest,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
14,the lone ranger,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western
15,man of steel,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi
16,the chronicles of narnia: prince caspian,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy
18,pirates of the caribbean: on stranger tides,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy
19,men in black 3,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi
20,the hobbit: the battle of the five armies,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
21,the amazing spider-man,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy
22,robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History
23,the hobbit: the desolation of smaug,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
24,the golden compass,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy
26,titanic,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance
27,captain america: civil war,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi
